bill_number,title,primary_subject
H.RES.125,Providing amounts for the expenses of the Committee on House Administration in the One Hundred Fifteenth Congress.,Congress
H.RES.123,"Providing for consideration of the joint resolution (H.J. Res. 43) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients; providing for consideration of the joint resolution (H.J. Res. 69) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska""; and providing for proceedings during the period from February 17, 2017, through February 24, 2017.",Congress
H.RES.126,Providing amounts for the expenses of the Committee on Financial Services in the One Hundred Fifteenth Congress.,Congress
H.R.1035,To extend the civil statute of limitations for victims of Federal sex offenses.,Crime and Law Enforcement
H.R.1033,"To amend titles 5 and 28, United States Code, to require the maintenance of databases on, awards of fees and other expenses to prevailing parties in certain administrative proceedings and court cases to which the United States is a party, and for other purposes.",Law
H.R.1042,"To require that the prevailing wage utilized for purposes of subchapter IV of chapter 31 of title 40, United States Code (commonly referred to as the Davis-Bacon Act), be determined by the Bureau of Labor Statistics.",Government Operations and Politics
H.R.1050,"To establish a pilot program to promote public-private partnerships among apprenticeships or other job training programs, local educational agencies, and community colleges, and for other purposes.",Labor and Employment
H.R.1036,"To amend the Immigration and Nationality Act to promote family unity, and for other purposes.",Immigration
H.R.1051,To amend the Internal Revenue Code of 1986 to repeal the increase in the income threshold used in determining the deduction for medical care.,Taxation
H.R.1041,To amend the Internal Revenue Code of 1986 to deny the refundable portion of the child tax credit to individuals who are not authorized to be employed in the United States and to terminate the use of certifying acceptance agents to facilitate the application process for ITINs.,Taxation
H.R.1043,"To amend title 18, United States Code, to limit the recovery of damages in a civil action related to the disclosure of certain personal information from State motor vehicle records, and for other purposes.",Crime and Law Enforcement
H.R.1038,To amend title XVIII of the Social Security Act to prohibit prescription drug plan sponsors and MA-PD organizations under the Medicare program from retroactively reducing payment on clean claims submitted by pharmacies.,Health
H.R.1029,"To amend the Federal Insecticide, Fungicide, and Rodenticide Act to improve pesticide registration and other activities under the Act, to extend and modify fee authorities, and for other purposes.",Environmental Protection
H.R.1045,"To protect the right of individuals to bear arms at water resources development projects administered by the Secretary of the Army, and for other purposes.",Water Resources Development
H.R.1032,To expand the eligibility of veterans for hospital care and medical services provided by non-Department of Veterans Affairs medical providers under the Veterans Choice Program.,Armed Forces and National Security
H.R.1039,"To amend section 3606 of title 18, United States Code, to grant probation officers authority to arrest hostile third parties who obstruct or impede a probation officer in the performance of official duties.",Crime and Law Enforcement
H.R.1031,"To eliminate the Bureau of Consumer Financial Protection by repealing title X of the Dodd-Frank Wall Street Reform and Consumer Protection Act, commonly known as the Consumer Financial Protection Act of 2010.",Finance and Financial Sector
H.R.1034,"To authorize the Administrator of the Environmental Protection Agency to award grants for municipal solid waste prevention, reuse, and recycling program development, and for other purposes.",Environmental Protection
H.R.1047,"To require the Bureau of Alcohol, Tobacco, Firearms, and Explosives to make video recordings of the examination and testing of firearms and ammunition, and for other purposes.",Crime and Law Enforcement
H.R.1044,To amend the Help America Vote Act of 2002 to require States to provide for same day registration.,Government Operations and Politics
H.R.1049,To enhance the database of emergency response capabilities of the Department of Defense.,Armed Forces and National Security
H.R.1046,"To enable concrete masonry products manufacturers to establish, finance, and carry out a coordinated program of research, education, and promotion to improve, maintain, and develop markets for concrete masonry products.",Commerce
H.R.1053,"To amend chapter 111 of title 28, United States Code, relating to protective orders, sealing of cases, disclosures of discovery information in civil actions, and for other purposes.",Law
H.R.1058,"To amend title 38, United States Code, to clarify the role of podiatrists in the Department of Veterans Affairs.",Armed Forces and National Security
H.R.1037,"To authorize the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.",Public Lands and Natural Resources
H.R.1057,"To amend the Tariff Act of 1930 to ensure that merchandise arriving through the mail shall be subject to review by U.S. Customs and Border Protection and to require the provision of advance electronic information on shipments of mail to U.S. Customs and Border Protection, and for other purposes.",Foreign Trade and International Finance
H.R.1056,"To amend the Wild and Scenic Rivers Act to designate segments of the Molalla River in the State of Oregon as components of the National Wild and Scenic Rivers System, and for other purposes.",Public Lands and Natural Resources
H.R.1052,To direct the Secretary of Veterans Affairs to develop best practices for caring for high-risk military occupation veterans as part of the evaluation of mental health care and suicide prevention programs administered by the Secretary.,Armed Forces and National Security
H.R.1048,"To direct the President to impose duties on merchandise from the People's Republic of China in an amount equivalent to the estimated annual loss of revenue to holders of United States intellectual property rights as a result of violations of such intellectual property rights in China, and for other purposes.",Foreign Trade and International Finance
H.R.1055,"To acknowledge the fundamental injustice and the subsequent de jure and de facto racial and economic discrimination against those African-Americans impacted by the ""War on Drugs"" and the subsequent disparate and discriminatory mass incarceration, to determine the role that private corporations played in the prison industrial complex, to determine the impact of these forces on their families, to make recommendations to the Congress on appropriate remedies, and for other purposes.",Crime and Law Enforcement
H.R.1054,"To promote botanical research and botanical sciences capacity, and for other purposes.",Public Lands and Natural Resources
H.R.1040,To amend the Internal Revenue Code of 1986 to provide taxpayers a flat tax alternative to the current income tax system.,Taxation
H.J.RES.73,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.",Finance and Financial Sector
H.J.RES.72,"Relating to the disapproval of the proposed foreign military sale to the Government of Kenya of Air Tractor aircraft with weapons, and related support.",International Affairs
H.R.1030,To direct the Director of National Intelligence to conduct a study on cyber attack standards of measurement.,Armed Forces and National Security
S.367,"A bill to amend section 3606 of title 18, United States Code, to grant probation officers authority to arrest hostile third parties who obstruct or impede a probation officer in the performance of official duties.",Crime and Law Enforcement
S.375,A bill to amend the Endangered Species Act of 1973 to establish a procedure for approval of certain settlements.,Environmental Protection
S.373,"A bill to require the Secretary of Defense to submit to Congress a report on hearing loss, tinnitus, and noise pollution due to small arms fire.",Armed Forces and National Security
S.377,"A bill to amend the Trafficking Victims Protection Act of 2000 to clarify report dates, modify the criteria for determinations of whether countries are meeting the minimum standards for elimination of trafficking, and highlight the importance of concrete actions by countries to eliminate trafficking, and for other purposes.",International Affairs
S.370,"A bill to eliminate the Bureau of Consumer Financial Protection by repealing title X of the Dodd-Frank Wall Street Reform and Consumer Protection Act, commonly known as the Consumer Financial Protection Act of 2010.",Finance and Financial Sector
S.368,A bill to require the Director of the United States Fish and Wildlife Service to issue a scientifically valid and State-supported recovery plan for the Mexican gray wolf.,Animals
S.378,"A bill to amend titles 5 and 28, United States Code, to require the maintenance of databases on awards of fees and other expenses to prevailing parties in certain administrative proceedings and court cases to which the United States is a party, and for other purposes.",Law
S.371,"A bill to make technical changes and other improvements to the Department of State Authorities Act, Fiscal Year 2017.",International Affairs
S.369,"A bill to amend title 38, United States Code, to authorize the Secretary of Veterans Affairs, in awarding a contract for the procurement of goods or services, to give a preference to offerors that employ veterans, and for other purposes.",Armed Forces and National Security
S.372,A bill to amend the Tariff Act of 1930 to ensure that merchandise arriving through the mail shall be subject to review by U.S. Customs and Border Protection and to require the provision of advance electronic information on shipments of mail to U.S. Customs and Border Protection and for other purposes.,Foreign Trade and International Finance
S.374,"A bill to enable concrete masonry products manufacturers to establish, finance, and carry out a coordinated program of research, education, and promotion to improve, maintain, and develop markets for concrete masonry products.",Commerce
S.376,"A bill to amend the Endangered Species Act of 1973 to require publication on the Internet of the basis for determinations that species are endangered species or threatened species, and for other purposes.",Environmental Protection
H.CON.RES.26,To express the sense of Congress that the first launch of the Space Launch System should be named for Captain Eugene Andrew "Gene" Cernan.,"Science, Technology, Communications"
H.RES.127,Electing Members to certain standing committees of the House of Representatives.,Congress
H.CON.RES.25,Expressing the sense of Congress on the admission of refugees and immigrants to the United States.,Immigration
H.RES.130,"Supporting efforts to increase competition and accountability in the health insurance marketplace, and to extend accessible, quality, affordable health care coverage to every American through the choice of a public insurance plan.",Health
H.CON.RES.27,Expressing the sense of Congress that America's Federal public lands are national treasures that belong to all Americans.,Public Lands and Natural Resources
H.RES.128,Supporting respect for human rights and encouraging inclusive governance in Ethiopia.,International Affairs
H.RES.129,"Calling on the Department of Defense, other elements of the Federal Government, and foreign governments to intensify efforts to investigate, recover, and identify all missing and unaccounted-for personnel of the United States.",Armed Forces and National Security
H.R.1083,"To establish an American Savings Account Fund and create a retirement savings plan available to all employees, and for other purposes.",Labor and Employment
H.R.1081,"To eliminate the discretion of the Secretary of Homeland Security regarding the definition of the term ""official purpose"" as it applies to drivers' licenses and personal identification cards, and for other purposes.",Government Operations and Politics
H.R.1075,"To provide that the Executive Order entitled ""Protecting the Nation from Foreign Terrorist Entry into the United States"" (January 27, 2017) shall have no force or effect, to prohibit the use of Federal funds to enforce the Executive Order, and for other purposes.",Immigration
H.R.1065,To establish biennial budgets for the United States Government.,Economics and Public Finance
H.R.1080,To amend the Securities Act of 1933 and the Internal Revenue Code of 1986 to provide an exemption and payments from taxation for 501(c)(3) bonds issued on behalf of a historically Black college or university.,Taxation
H.R.1084,To address slow economic growth and spur investment and development in underserved communities across America.,Economics and Public Finance
H.R.1073,"To authorize the Secretary of the Interior to establish a structure for visitor services on the Arlington Ridge tract, in the area of the U.S. Marine Corps War Memorial, and for other purposes.",Public Lands and Natural Resources
H.R.1061,"To amend title 18, United States Code, to regulate the use of cell-site simulators, and for other purposes.",Crime and Law Enforcement
H.R.1076,"To provide that section 9 of Executive Order 13768, relating to sanctuary jurisdictions, shall have no force or effect, to prohibit the use of funds for certain purposes, and for other purposes.",Immigration
H.R.1066,"To direct the Secretary of Veterans Affairs to submit to the Committees on Veterans' Affairs of the Senate and the House of Representatives a report regarding the organizational structure of the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
H.R.1082,"To amend title XIX of the Social Security Act to eliminate the State option to reduce the home equity exemption amount for purposes of eligibility for long-term care assistance under Medicaid, and for other purposes.",Health
H.R.1070,To amend the Fair Labor Standards Act of 1938 to provide that an employee's 'regular rate' for purposes of calculating overtime compensation will not be affected by certain additional payments.,Labor and Employment
H.R.1067,"To amend section 524(c) of title 18, United States Code, to use lawfully forfeited drug seizures to increase border security.",Crime and Law Enforcement
H.R.1063,To ensure that an individual who is transitioning from receiving medical treatment furnished by the Secretary of Defense to medical treatment furnished by the Secretary of Veterans Affairs receives the pharmaceutical agents required for such transition.,Armed Forces and National Security
H.R.1094,To change the date for regularly scheduled general elections for Federal office to the first Saturday and Sunday after the first Friday in November in every even-numbered year.,Government Operations and Politics
H.R.1085,To withdraw certain Bureau of Land Management land from mineral development.,Public Lands and Natural Resources
H.R.1086,"To require executive agencies to notify the public and consider public comment before relocating an office of the agency that has regular contact with the public, and for other purposes.",Government Operations and Politics
H.R.1077,"To amend title 31, United States Code, to direct the Secretary of the Treasury to regulate tax return preparers.",Taxation
H.R.1069,To amend part B of title IV of the Social Security Act to ensure that mental health screenings and assessments are provided to children and youth upon entry into foster care.,Social Welfare
H.R.1099,To extend the authorization of appropriations for allocation to carry out approved wetlands conservation projects under the North American Wetlands Conservation Act through fiscal year 2022.,Water Resources Development
H.R.1078,"To amend title 37, United States Code, to exclude the receipt of basic allowance for housing for members of the Armed Forces in determining eligibility for certain Federal benefits, and for other purposes.",Armed Forces and National Security
H.R.1074,To repeal the Act entitled "An Act to confer jurisdiction on the State of Iowa over offenses committed by or against Indians on the Sac and Fox Indian Reservation".,Native Americans
H.R.1100,"To amend title 38, United States Code, to eliminate copayments by the Department of Veterans Affairs for medicines relating to preventive health services, and for other purposes.",Armed Forces and National Security
H.R.1068,"To enable needed drinking water standards, reduce lead in drinking water, plan for and address threats from climate change, terrorism, and source water contamination, invest in drinking water infrastructure, increase compliance with drinking water standards, foster greater community right to know about drinking water quality, and promote technological solutions for drinking water challenges.",Environmental Protection
H.R.1090,To amend the Internal Revenue Code of 1986 to extend the credit for residential energy efficient property and the energy credit.,Taxation
H.R.1095,"To amend the Torture Victims Relief Act of 1998 to authorize appropriations to provide assistance for domestic and foreign programs and centers for the treatment of victims of torture, and for other purposes.",International Affairs
H.R.1098,"To amend the Internal Revenue Code of 1986 to permanently extend the new markets tax credit, and for other purposes.",Taxation
H.R.1062,"To amend title 18, United States Code, to specify the circumstances in which a person may acquire geolocation information, and for other purposes.",Crime and Law Enforcement
H.R.1072,"To repeal provisions of the Patient Protection and Affordable Care Act and provide private health insurance reform, and for other purposes.",Health
H.R.1089,To amend the Internal Revenue Code of 1986 to ensure that kombucha is exempt from any excise taxes and regulations imposed on alcoholic beverages.,Taxation
H.R.1060,To amend the Higher Education Act of 1965 to include certain individuals who work on farms or ranches as individuals who are employed in public service jobs for purposes of eligibility for loan forgiveness under the Federal Direct Loan program.,Education
H.R.1059,"To provide for congressional oversight of actions to waive, suspend, reduce, provide relief from, or otherwise limit the application of sanctions with respect to the Russian Federation, and for other purposes.",International Affairs
H.R.1064,"To authorize an individual who is transitioning from receiving treatment furnished by the Secretary of Defense to treatment furnished by the Secretary of Veterans Affairs to continue receiving treatment from such individual's mental health care provider of the Department of Defense, and for other purposes.",Armed Forces and National Security
H.R.1097,"To increase consumer protection with respect to negative option agreements entered into on the Internet, and for other purposes.",Commerce
H.R.1088,"To establish the African Burial Ground International Memorial Museum and Educational Center in New York, New York, and for other purposes.",Social Sciences and History
H.R.1093,To require the Federal Railroad Administration and the Federal Transit Authority to provide appropriate Congressional notice of safety audits conducted with respect to railroads and rail transit agencies.,Transportation and Public Works
H.R.1079,"To amend the Higher Education Act of 1965 to require institutions of higher education to disclose their concealed carry or open carry policies with respect to firearms, and for other purposes.",Education
H.R.1096,"To amend title 31, United States Code, to provide for transparency of payments made from the Judgment Fund.",Government Operations and Politics
H.R.1071,"To amend the Safe Drinking Water Act to increase assistance for States, water systems, and disadvantaged communities; to encourage good financial and environmental management of water systems; and to strengthen the Environmental Protection Agency's ability to enforce the requirements of the Act, and for other purposes.",Environmental Protection
H.R.1091,To amend certain provisions of the Social Security Act relating to demonstration projects designed to promote the reemployment of unemployed workers.,Labor and Employment
H.R.1087,To establish a pilot program in certain agencies for the use of public-private agreements to enhance the efficiency of Federal real property.,Government Operations and Politics
H.R.1092,"To establish the United States Chief Manufacturing Officer in the Executive Office of the President with the responsibility of developing a national manufacturing strategy to revitalize the manufacturing sector, spur economic growth, and expand United States competitiveness, and for other purposes.",Commerce
H.J.RES.75,To amend the War Powers Resolution.,International Affairs
H.J.RES.74,Proposing an amendment to the Constitution of the United States regarding the right to vote.,"Civil Rights and Liberties, Minority Issues"
S.382,A bill to require the Secretary of Health and Human Services to develop a voluntary registry to collect data on cancer incidence among firefighters.,Health
S.386,"A bill to amend title 31, United States Code, to provide for transparency of payments made from the Judgment Fund.",Government Operations and Politics
S.396,"A bill to make technical amendments to certain marine fish conservation statutes, and for other purposes.",Public Lands and Natural Resources
S.390,A bill to withdraw certain Bureau of Land Management land from mineral development.,Public Lands and Natural Resources
S.385,"A bill to promote energy savings in residential buildings and industry, and for other purposes.",Energy
S.384,"A bill to amend the Internal Revenue Code of 1986 to permanently extend the new markets tax credit, and for other purposes.",Taxation
S.393,A bill to amend the Internal Revenue Code of 1986 to allow employers a credit against income tax for employees who participate in qualified apprenticeship programs.,Taxation
S.389,A bill to amend the Internal Revenue Code of 1986 to ensure that kombucha is exempt from any excise taxes and regulations imposed on alcoholic beverages.,Taxation
S.388,A bill for the relief of Maha Dakar.,
S.387,"A bill to amend the Consumer Financial Protection Act of 2010 to subject the Bureau of Consumer Financial Protection to the regular appropriations process, and for other purposes.",Finance and Financial Sector
S.391,"A bill to establish the African Burial Ground International Memorial Museum and Educational Center in New York, New York, and for other purposes.",Social Sciences and History
S.395,"A bill to amend title 18, United States Code, to specify the circumstances in which a person may acquire geolocation information and for other purposes.",Crime and Law Enforcement
S.379,A bill to amend title II of the Social Security Act to eliminate the five month waiting period for disability insurance benefits under such title for individuals with amyotrophic lateral sclerosis.,Social Welfare
S.381,A bill to repeal the Act entitled "An Act to confer jurisdiction on the State of Iowa over offenses committed by or against Indians on the Sac and Fox Indian Reservation".,Native Americans
S.383,A bill to coordinate the provision of energy retrofitting assistance to schools.,Energy
S.403,"A bill to amend the Internal Revenue Code of 1986 to improve access to health care through expanded health savings accounts, and for other purposes.",Taxation
S.394,"A bill to amend chapter 44 of title 18, United States Code, to provide that a member of the Armed Forces and the spouse of that member shall have the same rights regarding the receipt of firearms at the location of any duty station of the member.",Crime and Law Enforcement
S.404,"A bill to amend the Federal Food, Drug, and Cosmetic Act to improve the process for inspections of device establishments for granting export certifications.",Health
S.399,"A bill to establish the United States Chief Manufacturing Officer in the Executive Office of the President with the responsibility of developing a national manufacturing strategy to revitalize the manufacturing sector, spur economic growth, and expand United States competitiveness, and for other purposes.",Commerce
S.392,"A bill to establish the 400 Years of African-American History Commission, and for other purposes.","Civil Rights and Liberties, Minority Issues"
S.RES.61,"A resolution calling on the Department of Defense, other elements of the Federal Government, and foreign governments to intensify efforts to investigate, recover, and identify all missing and unaccounted-for personnel of the United States.",Armed Forces and National Security
S.J.RES.22,"A joint resolution granting the consent and approval of Congress to the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to enter into a compact relating to the establishment of the Washington Metrorail Safety Commission.",Transportation and Public Works
S.401,"A bill to establish the Appalachian Forest National Heritage Area, and for other purposes.",Public Lands and Natural Resources
S.402,A bill to direct the Joint Committee on the Library to enter into an agreement with the Harriet Tubman Statue Commission of the State of Maryland for the acceptance of a statue of Harriet Tubman for display in a prominent location in the United States Capitol.,Congress
S.400,"A bill to establish the Susquehanna National Heritage Area in the State of Pennsylvania, and for other purposes.",Public Lands and Natural Resources
S.380,"A bill to amend the Securities Exchange Act of 1934 to require the disclosure of the total number of the domestic and foreign employees of a company, and for other purposes.",Finance and Financial Sector
S.398,"A bill to direct the Secretary of the Army to provide for modification of certain Federal water resources development projects on the Apalachicola, Chattahoochee, and Flint Rivers, and for other purposes.",Water Resources Development
S.397,A bill to amend title XVIII of the Social Security Act to ensure fairness in Medicare hospital payments by establishing a floor for the area wage index applied with respect to certain hospitals.,Health
H.CON.RES.28,Establishing a Joint Committee on the Organization of Congress.,Congress
H.CON.RES.29,"Expressing the sense of the Congress regarding the need for increased diversity and inclusion in the tech sector, and increased access to opportunity in science, technology, engineering, arts, and mathematics (STEAM) education.",Education
H.RES.137,Honoring the life of Shimon Peres.,International Affairs
H.RES.132,Calling on the President to initiate renegotiation of the North American Free Trade Agreement (NAFTA) and further calling on the President to consider withdrawing the United States from NAFTA if the renegotiations are not satisfactorily completed within one year.,Foreign Trade and International Finance
H.RES.136,"Expressing the sense of the Congress that lesbian, gay, bisexual, and transgender individuals should be protected from discrimination under the law.","Civil Rights and Liberties, Minority Issues"
H.RES.135,Urging North Atlantic Treaty Organization (NATO) member countries to meet or exceed the two percent gross domestic product commitment to spending on defense.,International Affairs
H.RES.131,Electing Members to certain standing committees of the House of Representatives.,Congress
H.RES.142,"Expressing support for designation of the week of October 29 through November 4, 2017, as ""National Obesity Care Week"".",Health
H.RES.134,Supporting the goals and ideals of Black History Month and honoring the outstanding contributions of African-American Medal of Honor recipients.,"Civil Rights and Liberties, Minority Issues"
H.RES.138,Recognizing the 40th anniversary of the founding of the Professional Aviation Safety Specialists.,Transportation and Public Works
H.RES.141,Supporting the goals and ideals of International Mother Language Day in bringing attention to the importance of preserving linguistic and cultural heritage through education.,"Arts, Culture, Religion"
H.RES.133,Expressing support for designation of April 11 as "National Pet Adoption Day" and the month of April as "National Pet Adoption Month" to highlight the important role pets play in the lives of United States citizens.,Animals
H.RES.140,Condemning the appointment of Steve Bannon to the National Security Council and urging his immediate removal.,Armed Forces and National Security
H.RES.139,"Expressing support for the designation of the week beginning on February 19, 2017, as ""American Birkebeiner Week"".",Sports and Recreation
H.RES.143,"Recognizing the significance of the 75th anniversary of the signing of Executive Order 9066 by President Franklin D. Roosevelt and supporting the goals of the Japanese American, German American, and Italian American communities in recognizing a National Day of Remembrance to increase public awareness of the events surrounding the restriction, exclusion, and incarceration of individuals and families during World War II.","Civil Rights and Liberties, Minority Issues"
H.RES.144,Recognizing the importance of establishing a national "Fred Korematsu Day of Civil Liberties and the Constitution".,"Civil Rights and Liberties, Minority Issues"
H.RES.145,Expressing the sense of the House of Representatives regarding the fight against corruption in Central America.,International Affairs
H.R.1173,To amend title XVIII of the Social Security Act to provide for treatment of clinical psychologists as physicians for purposes of furnishing clinical psychologist services under the Medicare program.,Health
H.R.1164,To condition assistance to the West Bank and Gaza on steps by the Palestinian Authority to end violence and terrorism against Israeli citizens.,International Affairs
H.R.1179,"To amend the Federal Water Pollution Control Act with respect to citizen suits and the specification of disposal sites, and for other purposes.",Environmental Protection
H.R.1168,"To provide that service of the members of the organization known as the United States Cadet Nurse Corps during World War II constituted active military service for purposes of laws administered by the Secretary of Veterans Affairs, and other purposes.",Armed Forces and National Security
H.R.1176,"To amend the Coastal Zone Management Act of 1972 to establish a Working Waterfront Task Force and a working waterfronts grant program, and for other purposes.",Public Lands and Natural Resources
H.R.1183,To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to improve mitigation assistance.,Emergency Management
H.R.1162,To direct the Secretary of Veterans Affairs to carry out a pilot program to provide access to magnetic EEG/EKG-guided resonance therapy to veterans.,Armed Forces and National Security
H.R.1172,"To require the President to disclose income, assets, and liabilities associated with countries with which the United States is negotiating a trade or investment agreement, countries subject to Presidential determinations in trade enforcement actions, and countries eligible for trade preference programs, and for other purposes.",Foreign Trade and International Finance
H.R.1171,To amend title II of the Social Security Act to eliminate the five month waiting period for disability insurance benefits for individuals with amyotrophic lateral sclerosis (ALS).,Social Welfare
H.R.1169,To amend the Native American Programs Act of 1974 to provide flexibility and reauthorization to ensure the survival and continuing vitality of Native American languages.,Native Americans
H.R.1161,"To include Livingston County, the city of Jonesboro in Union County, and the city of Freeport in Stephenson County, Illinois, to the Lincoln National Heritage Area, and for other purposes.",Public Lands and Natural Resources
H.R.1175,"To amend the Internal Revenue Code of 1986 to improve access to health care through expanded health savings accounts, and for other purposes.",Taxation
H.R.1167,"To amend title XVIII of the Social Security Act to promote physician training in newly recognized primary medical specialties, and for other purposes.",Health
H.R.1178,To amend the Immigration and Nationality Act to eliminate the diversity immigrant program.,Immigration
H.R.1189,"To amend the Food and Nutrition Act of 2008 to provide greater access to the supplemental nutrition assistance program by reducing duplicative and burdensome administrative requirements, authorize the Secretary of Agriculture to award grants to certain community-based nonprofit feeding and anti-hunger groups for the purpose of establishing and implementing a Beyond the Soup Kitchen Pilot Program for certain socially and economically disadvantaged populations, and for other purposes.",Agriculture and Food
H.R.1187,"To expand the research activities of the National Institutes of Health with respect to functional gastrointestinal and motility disorders, and for other purposes.",Health
H.R.1177,"To direct the Secretary of Agriculture to release on behalf of the United States the condition that certain lands conveyed to the City of Old Town, Maine, be used for a municipal airport, and for other purposes.",Public Lands and Natural Resources
H.R.1166,To amend title XIX of the Social Security Act to provide greater State flexibility and innovation through Medicaid cost-sharing waivers.,Health
H.R.1170,"To require each Federal agency to review rules made after the enactment of the Congressional Review Act to ensure that all such rules were made in compliance with the Act, and for other purposes.",Government Operations and Politics
H.R.1165,To amend the Internal Revenue Code of 1986 to provide an exclusion from gross income for AmeriCorps educational awards.,Taxation
H.R.1174,To provide a lactation room in public buildings.,Government Operations and Politics
H.R.1198,For the relief of Flavia Maboloc Cahoon.,
H.R.1182,"To require certain actions regarding Russian Federation noncompliance with the INF Treaty, and for other purposes.",International Affairs
H.R.1163,"To amend the Food Security Act of 1985 to exempt certain recipients of Department of Agriculture conservation assistance from certain reporting requirements, and for other purposes.",Agriculture and Food
H.R.1184,"To amend the Communications Act of 1934 to require the Federal Communications Commission to prescribe rules regulating inmate telephone and video service rates, and for other purposes.","Science, Technology, Communications"
H.R.1199,"For the relief of Malachy McAllister, Nicola McAllister, and Sean Ryan McAllister.",
H.R.1191,"To ensure effective implementation of the Child Soldier Prevention Act of 2008 and hold governments accountable for involving children in armed conflict activities, whether as combatants, servants, or sex slaves.",International Affairs
H.R.1128,To assist survivors of stroke and other debilitating health occurrences in returning to work.,Labor and Employment
H.R.1180,To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector.,Labor and Employment
H.R.1149,"To amend the Immigration and Nationality Act to make changes related to family-sponsored immigrants and to reduce the number of such immigrants, and for other purposes.",Immigration
H.R.1188,"To reauthorize certain programs established by the Adam Walsh Child Protection and Safety Act of 2006, and for other purposes.",Crime and Law Enforcement
H.R.1193,"To amend the Higher Education Act of 1965 to authorize institutions of higher education to provide additional loan counseling, and for other purposes.",Education
H.R.1104,"To amend title 38, United States Code, to provide for pro-rated charges to entitlement to educational assistance under Department of Veterans Affairs Post-9/11 Educational Assistance Program for certain licensure and certification tests and national tests, and for other purposes.",Armed Forces and National Security
H.R.1194,"To establish the Commission on the Social Status of Black Men and Boys, to study and make recommendations to address social problems affecting Black men and boys.",Families
H.R.1197,For the relief of Beloved Jefeti.,
H.R.1130,To amend title XVIII of the Social Security Act to ensure fairness in Medicare hospital payments by establishing a floor for the area wage index applied with respect to certain hospitals.,Health
H.R.1153,To amend the Truth in Lending Act to improve upon the definitions provided for points and fees in connection with a mortgage transaction.,Housing and Community Development
H.R.1122,To amend title XVIII of the Social Security Act to provide for clarification and rationalization of Medicare prescription drug plan recovery rules for certain claims.,Health
H.R.1145,To amend the Internal Revenue Code of 1986 to qualify homeless youth and veterans who are full-time students for purposes of the low-income housing tax credit.,Taxation
H.R.1152,"To eliminate the sunset date for the Veterans Choice Program of the Department of Veterans Affairs, to expand eligibility for such program, and to extend certain operating hours for pharmacies and medical facilities of the Department, and for other purposes.",Armed Forces and National Security
H.R.1138,"To amend title 18, United States Code, to provide a criminal penalty for launching drones that interfere with fighting wildfires affecting Federal property, and for other purposes.",Crime and Law Enforcement
H.R.1195,"To authorize the Secretary of Commerce to permit striped bass fishing in the Exclusive Economic Zone transit zone between Montauk, New York, and Point Judith, Rhode Island, and for other purposes.",Public Lands and Natural Resources
H.R.1185,"To amend titles 10 and 41, United States Code, to provide a contracting preference for contractors that retain American jobs and purchase goods and services in the United States, and for other purposes.",Government Operations and Politics
H.R.1150,To amend the Internal Revenue Code of 1986 to repeal the excise tax on indoor tanning services.,Taxation
H.R.1181,"To amend title 38, United States Code, to clarify the conditions under which certain persons may be treated as adjudicated mentally incompetent for certain purposes.",Armed Forces and National Security
H.R.1148,To amend title XVIII of the Social Security Act to expand access to telehealth-eligible stroke services under the Medicare program.,Health
H.R.1124,"To prohibit the Secretary of the Treasury and the Board of Governors of the Federal Reserve System from providing bailouts or other financial assistance to a pension plan of a State or political subdivision thereof, and for other purposes.",Labor and Employment
H.R.1147,To provide for the issuance of a Families of Fallen Heroes Semipostal Stamp.,Government Operations and Politics
H.R.1103,"To amend title 10, United States Code, to provide for garnishment pursuant to a court order to satisfy a judgment against a retired member of the uniformed services for physically, sexually, or emotionally abusing a child.",Armed Forces and National Security
H.R.1192,"To amend title 18, United States Code, to prohibit dismemberment abortions, and for other purposes.",Crime and Law Enforcement
H.R.1115,To amend the Internal Revenue Code of 1986 to modify certain rules applicable to qualified small issue manufacturing bonds.,Taxation
H.R.1146,"To require the Secretary of Housing and Urban Development to establish a pilot program to make grants to eligible organizations to provide legal assistance to low-income families regarding housing disputes, and for other purposes.",Housing and Community Development
H.R.1151,To amend title XIX of the Social Security Act to encourage the prioritization of the most vulnerable individuals under the Medicaid program.,Health
H.R.1143,"To amend the Public Health Service Act to address the increased burden that maintaining the health and hygiene of infants and toddlers places on families in need, the resultant adverse health effects on children and families, and the limited child care options available for infants and toddlers who lack sufficient diapers.",Health
H.R.1114,To enhance Social Security benefits and ensure the long-term solvency of the Social Security program.,Social Welfare
